Name,activation,optimizer,is_one_hot,loss,accuracy
elu_ftrl,elu,ftrl,False,2.3127496242523193,0.0994499996304512
elu_nadam,elu,nadam,False,2.3343193531036377,0.0994499996304512
elu_rmsprop,elu,rmsprop,False,2.307612419128418,0.0994499996304512
elu_sgd,elu,sgd,False,2.365121603012085,0.09965000301599503
hard_sigmoid,hard,sigmoid,False,2.30269455909729,0.10145000368356705
hard_sigmoid,hard,sigmoid,False,2.2718563079833984,0.11052499711513519
hard_sigmoid,hard,sigmoid,False,2.3025550842285156,0.10125000029802322
hard_sigmoid,hard,sigmoid,False,2.30256986618042,0.10119999945163727
hard_sigmoid,hard,sigmoid,False,2.3025758266448975,0.10119999945163727
hard_sigmoid,hard,sigmoid,False,2.2144336700439453,0.16392500698566437
hard_sigmoid,hard,sigmoid,False,2.327542781829834,0.10050000250339508
